Log file open, 05/05/15 00:36:42
LogInit:Display: Running engine for game: UEDEMO
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
LogInit: Compiled with Visual C++: 18.00.21005.01
LogInit: Build Configuration: Development
LogInit: Branch Name: ++depot+UE4-Releases+4.7
LogInit: Command line: 
LogInit: Base directory: F:/Epic/Epic Games/4.7/Engine/Binaries/Win64/
LogInit: Rocket: 1
[2015.05.04-16.36.42:559][  0]LogTaskGraph: Started task graph with 3 named threads and 6 total threads.
[2015.05.04-16.36.42:628][  0]LogOnline:Warning: No default platform service specified for OnlineSubsystem
[2015.05.04-16.36.42:649][  0]LogInit: Presizing for 0 objects not considered by GC, pre-allocating 0 bytes.
[2015.05.04-16.36.42:660][  0]LogInit: Object subsystem initialized
[2015.05.04-16.36.42:666][  0]LogInit: Selected Device Profile: [Windows]
[2015.05.04-16.36.42:666][  0]LogInit: Applying CVar settings loaded from the selected device profile: [Windows]
[2015.05.04-16.36.42:674][  0]LogInit: Computer: RAYMONDMG
[2015.05.04-16.36.42:674][  0]LogInit: User: RMG
[2015.05.04-16.36.42:674][  0]LogInit: CPU Page size=4096, Cores=4
[2015.05.04-16.36.42:674][  0]LogInit: High frequency timer resolution =2.435779 MHz
[2015.05.04-16.36.42:674][  0]LogMemory: Memory total: Physical=7.9GB (8GB approx) Virtual=131072.0GB
[2015.05.04-16.36.42:674][  0]LogMemory: Platform Memory Stats for Windows
[2015.05.04-16.36.42:674][  0]LogMemory: Process Physical Memory: 46.39 MB used, 46.39 MB peak
[2015.05.04-16.36.42:674][  0]LogMemory: Process Virtual Memory: 24.48 MB used, 24.55 MB peak
[2015.05.04-16.36.42:674][  0]LogMemory: Physical Memory: 6100.82 MB used, 8073.02 MB total
[2015.05.04-16.36.42:674][  0]LogMemory: Virtual Memory: 288.85 MB used, 134217728.00 MB total
[2015.05.04-16.36.42:689][  0]LogD3D11RHI: Found D3D11 adapter 0: Intel(R) HD Graphics 4600 (Feature Level 11_0)
[2015.05.04-16.36.42:689][  0]LogD3D11RHI: Adapter has 4078MB of dedicated video memory, 0MB of dedicated system memory, and 4036MB of shared system memory, 1 output[s]
[2015.05.04-16.36.42:690][  0]LogD3D11RHI: Found D3D11 adapter 1: Microsoft Basic Render Driver (Feature Level 11_0)
[2015.05.04-16.36.42:690][  0]LogD3D11RHI: Adapter has 0MB of dedicated video memory, 0MB of dedicated system memory, and 256MB of shared system memory, 0 output[s]
[2015.05.04-16.36.42:690][  0]LogD3D11RHI: Chosen D3D11 Adapter Id = 0
[2015.05.04-16.36.42:694][  0]LogRHI: Texture pool is 1361 MB (70% of 1945 MB)
[2015.05.04-16.36.42:702][  0]LogD3D11RHI: Async texture creation enabled
[2015.05.04-16.36.42:800][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save):
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Editor/zh-CN/Editor.locres) Hash: (-669349758) String: (保存)
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Engine/zh-CN/Engine.locres) Hash: (-669349758) String: (保持)
[2015.05.04-16.36.42:800][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:UICommands, Key:Save_ToolTip):
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Editor/zh-CN/Editor.locres) Hash: (-29098895) String: (保存所有当前关卡到磁盘中)
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Engine/zh-CN/Engine.locres) Hash: (-1280300587) String: (保存选择的数据到vlog文件)
[2015.05.04-16.36.42:801][  0]LogTextLocalizationManager:Warning: Loading localization resources contain conflicting entries for (Namespace:ContentBrowser, Key:ImportAssetToolTip):
Resource: (F:/Epic/Epic Games/4.7/Engine/Content/Localization/Editor/zh-CN/Editor.locres) Hash: (-630476809) String: (导入到{0}...)
